Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,b000fry3,7,"Sunday, March 24, 2013 11:43:18 UTC",51.5940,156.7059,4.4,174.70,37,"Kamchatka Peninsula, Russia"
nc,71959535,0,"Sunday, March 24, 2013 11:39:21 UTC",37.6435,-118.9262,1.0,9.20,13,"Long Valley area, California"
uw,60512366,1,"Sunday, March 24, 2013 11:39:04 UTC",42.6165,-122.4097,2.8,3.20,51,"Oregon"
ci,15313409,0,"Sunday, March 24, 2013 11:38:19 UTC",32.6627,-115.7950,1.4,11.90,22,"Southern California"
nn,00407021,1,"Sunday, March 24, 2013 11:26:30 UTC",37.0283,-117.1230,1.2,19.20, 7,"Nevada"
ci,15313393,0,"Sunday, March 24, 2013 11:12:18 UTC",32.6458,-115.7247,2.1,9.70,39,"Baja California, Mexico"
nc,71959525,0,"Sunday, March 24, 2013 11:02:03 UTC",37.6175,-118.8847,1.0,27.40, 9,"Long Valley area, California"
ak,10680258,1,"Sunday, March 24, 2013 11:01:12 UTC",63.0560,-151.5371,1.4,10.10, 4,"Central Alaska"
ak,10680254,1,"Sunday, March 24, 2013 10:55:37 UTC",63.6277,-147.5348,1.6,87.50,13,"Central Alaska"
ak,10680253,1,"Sunday, March 24, 2013 10:50:04 UTC",63.0711,-151.5862,1.8,11.00,11,"Central Alaska"
nn,00407019,1,"Sunday, March 24, 2013 10:34:04 UTC",39.6257,-120.0080,1.2,8.00,17,"Northern California"
nc,71959515,0,"Sunday, March 24, 2013 10:31:11 UTC",37.6408,-118.9285,1.3,8.40,18,"Long Valley area, California"
us,b000frxm,B,"Sunday, March 24, 2013 10:29:20 UTC",16.1510,-93.0710,4.1,169.40,36,"Chiapas, Mexico"
nc,71959510,0,"Sunday, March 24, 2013 10:18:06 UTC",36.0310,-120.6410,1.0,3.90, 9,"Central California"
us,b000frxj,5,"Sunday, March 24, 2013 10:12:03 UTC",38.8986,-107.3446,2.5,1.00,33,"Colorado"
us,b000frxi,5,"Sunday, March 24, 2013 10:04:13 UTC",50.7590,160.1250,4.3,9.60,88,"east of the Kuril Islands"
ak,10680237,1,"Sunday, March 24, 2013 09:36:24 UTC",61.0753,-151.5173,1.5,70.40,12,"Southern Alaska"
uw,60512336,2,"Sunday, March 24, 2013 09:18:52 UTC",42.6093,-122.4040,1.8,19.20,16,"Oregon"
ci,15313345,0,"Sunday, March 24, 2013 09:17:35 UTC",34.0043,-117.1757,1.3,2.40,47,"Greater Los Angeles area, California"
nc,71959440,1,"Sunday, March 24, 2013 09:13:34 UTC",37.6382,-118.9380,2.3,4.00,22,"Long Valley area, California"
nc,71959410,0,"Sunday, March 24, 2013 08:51:51 UTC",37.6385,-118.9278,1.2,7.70,14,"Long Valley area, California"
nc,71959400,0,"Sunday, March 24, 2013 08:50:00 UTC",37.6317,-118.9222,1.5,1.30, 7,"Long Valley area, California"
nc,71959395,0,"Sunday, March 24, 2013 08:49:47 UTC",37.6400,-118.9293,1.2,7.70,14,"Long Valley area, California"
nc,71959385,0,"Sunday, March 24, 2013 08:44:50 UTC",37.6403,-118.9287,1.5,8.30,23,"Long Valley area, California"
nc,71959365,1,"Sunday, March 24, 2013 08:36:45 UTC",37.6383,-118.9253,2.2,8.20,27,"Long Valley area, California"
nc,71959355,0,"Sunday, March 24, 2013 08:32:49 UTC",37.6388,-118.9242,1.7,7.70,21,"Long Valley area, California"
nc,71959340,0,"Sunday, March 24, 2013 08:30:58 UTC",37.6377,-118.9253,1.5,8.20,16,"Long Valley area, California"
nc,71959330,3,"Sunday, March 24, 2013 08:29:07 UTC",37.6403,-118.9322,3.1,5.80,28,"Long Valley area, California"
nc,71959320,0,"Sunday, March 24, 2013 08:26:03 UTC",37.6410,-118.9273,1.4,8.70,17,"Long Valley area, California"
nc,71959315,0,"Sunday, March 24, 2013 08:25:54 UTC",37.6375,-118.9313,1.2,7.60, 9,"Long Valley area, California"
ci,15313289,0,"Sunday, March 24, 2013 08:24:35 UTC",33.8093,-116.4682,1.0,17.30,19,"Southern California"
ci,15313281,0,"Sunday, March 24, 2013 08:23:29 UTC",33.7040,-116.8237,1.5,17.20,89,"Southern California"
us,b000frwy,7,"Sunday, March 24, 2013 08:13:44 UTC",-20.7770,173.4071,6.0,10.00,55,"Vanuatu region"
uw,60512326,2,"Sunday, March 24, 2013 08:00:10 UTC",42.6235,-122.4085,2.6,2.90,29,"Oregon"
ak,10680189,1,"Sunday, March 24, 2013 07:53:00 UTC",61.2878,-150.2084,2.0,47.10,14,"Southern Alaska"
